ID,SongTitle,FirstLine,Year,Songwriter,Tags,tag_id,Copyright,Lyrics,edit_flg,fav_flg
140,The Power of Your Love,Lord I come to You,1992,Geoff Bullock,Love of God,21,© 1992 Maranatha! Music (Admin. by Maranatha! Music (Capitol CMG)),<p>Lord I come to You<br/>Let my heart be changed renewed<br/>Flowing from the grace that I found<br/>In You</p><p>Lord I've come to know<br/>The weakness I see in me<br/>Will be stripped away<br/>By the power of Your love</p><p>Hold me close<br/>Let Your love surround me<br/>Bring me near<br/>Draw me to Your side</p><p>And as I wait<br/>I'll rise up like the eagle<br/>And I will soar with You<br/>Your Spirit leads me on<br/>By the power of Your love</p><p>Lord unveil my eyes<br/>Let me see You face to face<br/>The knowledge of Your love as You live<br/>In me</p><p>Lord renew my mind<br/>As Your will unfolds my life<br/>In living every day<br/>By the power of Your love</p><p>Hold me close<br/>Let Your love surround me<br/>Bring me near<br/>Draw me to Your side</p>,,FALSE
141,The Right Hand of God,"The right hand of God, is writing in our land",1981,"Patrick Prescod, Noel Dexter, arr. Marjorie Whylie","Power of God, Caribbean","29, 48",© 1981 Caribbean conference of Churches,"<p>1<br/>The right hand of God<br/>is writing in our land,<br/>Writing with power and with love;<br/>Our conflicts and our fears,<br/>Our triumphs and our tears,<br/>Are recorded by the right hand of God.<br/><br/>2 The right hand of God<br/>is pointing in our land,<br/>Pointing the way we must go;<br/>So clouded is the way,<br/>So easily we stray,<br/>But we're guided by the right hand of God.<br/><br/>3 The right hand of God<br/>is striking in our land,<br/>Striking out at envy, hate and greed;<br/>Our selfishness and lust,<br/>Our pride and deeds unjust,<br/>Are destroyed by the right hand of God.<br/><br/>4 The right hand of God<br/>is lifting in our land,<br/>Lifting the fallen one by one;<br/>Each one is known by name,<br/>And lifted now from shame,<br/>By the lifting of the right hand of God.<br/><br/>5 The right hand of God<br/>is healing in our land,<br/>Healing broken bodies, minds and souls;<br/>So wondrous is its touch,<br/>With love that means so much,<br/>When we're healed<br/>by the right hand of God.<br/><br/>6 The right hand of God<br/>is planting in our land,<br/>Planting seeds of freedom, hope and love;<br/>In these many-peopled lands,<br/>Let his children all join hands,<br/>And be one with the right hand of God.</p>",,FALSE
142,The Time To Be Happy,The time to be happy is now,,Robert G. Ingersoll,"Joy, Short Chorus","17, 39",Copyright Information Unknown,<p>The time to be happy is now<br/>The place to be happy is here <br/>And the way to be happy is to make others happy<br/>And we'll have a little heaven down here.</p>,,FALSE
143,The Water Is Troubled,The water is troubled my friend,,Unknown,"Baptism, Carribean, Short Chorus","3, 48, 39",Copyright Information Unknown,<p>The water is troubled my friend<br/>Step right in<br/>God's almighty power<br/>Is moving every hour<br/>No longer stand on dry land<br/>The water is troubled my friend<br/>Step right in</p>,,FALSE
144,The Windows of Heaven,The windows of heaven are open,,Unknown,"God's Faithfulness, Thankfulness","12, 43",Copyright Information Unknown,"<p>The windows of heaven are open<br/>The blessings are falling today<br/>It brings joy, joy, joy in my life<br/>Since Jesus made everything right<br/>I gave him my old tattered garment (exchanged it)<br/>He gave me a robe of pure white<br/>I'm feasting on Heavenly manna<br/>That's why I'm so happy today</p>",,FALSE
145,The Youth of the World,"We have heard thy call, Lord Jesus",,Unknown,"Service, Christian Warfare, Discipleship","38, 7, 8",Copyright Information Unknown,"<p>1<br/>We have heard thy call, Lord Jesus<br/>And our hearts respond with joy;<br/>We will pledge Thee our allegiance,<br/>For Thy cause our all employ</p><p>Chorus</p><p>2<br/>The youth of the world for the man of Galilee!<br/>The youth of the world from all sin and self set free!<br/>Ev’ry talent pledged in service now and thro’ eternity<br/>The youth of the world for the man of Galilee!</p><p>3<br/>Where-so e’er Thy challenge leads us,<br/>What-so e’er shall be the test,<br/>Only make it known, dear master,<br/>And we promise Thee our best.</p><p>4<br/>Ev’ry talent thou hast given,<br/>Not for hiding, but for use;<br/>All our time is of Thy lending,<br/>To be spent as Thou shalt choose.</p><p>5<br/>What-so e’er we are or have Lord,<br/>Shall be subject to Thy will;<br/>Trust us with Thy greatest, task, Lord,<br/>And with pride our hearts shall thrill.</p>",,FALSE
146,There's A Hill In The Country Far Away,There's a hill in the country far away,,Unknown,"Children's Songs, Salvation, Calvary, Caribbean","6, 36, 5, 48",Copyright Information Unknown,"<p>1<br/>There's a hill in the country far away (clap, clap)<br/>There's a hill, there's a hill<br/>There's a hill in the country far away (clap, clap)</p><p>2<br/>There's a cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>3<br/>There's a king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>4<br/>There's wound on the side of the king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>5<br/>There's blood washing from the wound on the side of the king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>6<br/>And you can be saved by the blood washing from the wound on the side of the king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p>",,FALSE
147,They Will Know We Are Christians By Our Love,We are one in the Spirit,1966,Peter Scholtes,"Unity, Love, Holy Spirit, Evangelism","45, 19, 16, 9",© 1966 F.E.L. Publications. Assigned 1991 Lorenz Publishing Company (Admin. by Lorenz Corporation),"<p>1<br/>We are one in the Spirit, we are one in the Lord,<br/>We are one in the Spirit, we are one in the Lord,<br/>And we pray that all unity may one day be restored.</p><p>Chorus:<br/>And they’ll know we are Christians by our love, by our love,<br/>Yes, they’ll know we are Christians by our love.</p><p>2<br/>We will walk with each other, we will walk hand in hand,<br/>We will walk with each other, we will walk hand in hand,<br/>And together we’ll spread the news that God is in our land.</p><p>3<br/>We will work with each other, we will work side by side,<br/>We will work with each other, we will work side by side,<br/>And we’ll guard each one’s dignity and save each one’s pride.</p><p>4<br/>All praise to the Father, from whom all things come,<br/>And all praise to Christ Jesus, his only Son,<br/>And all praise to the Spirit, who makes us one.</p>",,FALSE
148,This Is The Day (Psalm 118:24),"This is the day, this is the day that the Lord has made",1967,Les Garrett,"Thankfulness, Joy, Scripture, Short Chorus","43, 17, 37, 39","© 1967, 1980, Scripture in Song. Admin by Integrity Music. All rights reserved. International copyright secured.","<p>This is the day, this is the day<br/>That the Lord has made, that the Lord has made<br/>I will rejoice, I will rejoice<br/>And be glad in it, and be glad in it<br/>This is the day that the Lord has made<br/>I will rejoice and be glad in it<br/>This is the day, this is the day<br/>That the Lord has made</p>",,FALSE
149,This Little Light Of Mine,This little light of mine,,Avis Burgeson Christiansen,"Evangelism, Afro-American Spiritual","9, 1",Copyright Information Unknown,<p>This little light of mine<br/>I'm gonna let it shine<br/>This little light of mine<br/>I'm gonna let it shine<br/>This little light of mine<br/>I'm gonna let it shine<br/>Let it shine (x3)</p><p>Everywhere I go<br/>I'm gonna let it shine<br/>Everywhere I go<br/>I'm gonna let it shine<br/>Everywhere I go<br/>I'm gonna let it shine<br/>Let it shine (x3)</p>,,FALSE
150,Watch Your Eyes (What They See),"Watch your eyes, watch your eyes, what they see",,Unknown,"Children's Songs, Purity, Short Chorus","6, 33, 39",Copyright Information Unknown,"<p>1<br/>There's a hill in the country far away (clap, clap)<br/>There's a hill, there's a hill<br/>There's a hill in the country far away (clap, clap)</p><p>2<br/>There's a cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>3<br/>There's a king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>4<br/>There's wound on the side of the king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>5<br/>There's blood washing from the wound on the side of the king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p><p>6 And you can be saved by the blood washing from the wound on the side of the king on the cross on the hill in the country far away<br/>There's a hill, there's a hill<br/>There's a hill in the country far away</p>",,FALSE
151,We Are Standing on Holy Ground,We are standing on holy ground,1983,Geron Davis,"Presence of God, Praise & Worship, Short Chorus","32, 30, 39",Copyright 1983 by Meadowgreen Music Company/Songchannel Music Co.,<p>We are standing on holy ground<br/>For I know that there are angels all around<br/>Let us praise Jesus now<br/>For we are standing in His presence on holy ground</p>,,FALSE
152,We Are United,We are united in Jesus Christ,1998,Manuel & Joeline McGregor,"Christian Warfare, Unity, Short Chorus","7, 45, 39",© McGregor Ministries Publishing,<p>We are united in Jesus Christ<br/>We are the soldiers of the light<br/>We don't wrestle flesh and blood<br/>But principalities of the dark<br/>We do our marching to one beat<br/>Crushing the enemy under our feet<br/>We are mighty in our stand<br/>With God's word in our hand</p>,,FALSE
153,We'll Understand It Better By And By,By and by when the morning comes,,Charles Albert Tindley,"Heaven, Afro-American Spiritual, Short Chorus","15, 1, 39",© Words: Public Domain,<p>By and by when the morning comes<br/>When all the saints of God are gathered home<br/>We will tell the story how we overcome<br/>We will understand it better by and by</p>,,FALSE
154,Welcome Holy Spirit,Welcome Holy Spirit,1992,Hilde M. Bedsvaag,"Holy Spirit, Meditation","16, 23",© 1992 Authentic Publishing (Admin. by EMI Christian Music Publishing),<p>Welcome Holy Spirit<br/>Be here with Your presence0<br/>Fill me with Your power<br/>Live inside of me</p><p>You're the living water<br/>Never drying fountain<br/>Comforter and counselor<br/>Take complete control</p>,,FALSE
155,What A Glory That Will Be,Oh what a glory that will be,,Unknown,"Heaven, Short Chorus, Caribbean","15, 39, 48",Copyright Information Unknown,<p>Oh what a glory that will be<br/>When the ransomed we shall see<br/>What a hallelujah band<br/>When we meet in Beulah land<br/>What a glory that will be</p>,,FALSE
156,What A Mighty God We Serve,What a mighty God we serve,,Unknown,"Power of God, Afro-American Spiritual, Short Chorus","29, 1, 39",Copyright Information Unknown,<p>What a mighty God we serve<br/>What a mighty God we serve<br/>Angels bow before Him<br/>Heaven and earth adore Him<br/>What a mighty God we serve</p>,,FALSE
157,What the Lord Has Done in Me,Let the weak say I am strong,1998,Reuben Morgan,"Work of God in Man, Love of God, Calvary, Jesus","47, 21, 5, 49",© 1998 Reuben Morgan/Hillsong Publishing (Admin. Integrity's Hosanna! Music),"<p>Let the weak say, ""I am strong""<br/>Let the poor say, ""I am rich""<br/>Let the blind say, ""I can see""<br/>It's what the Lord has done in me.</p><p>Chorus:<br/>Hosanna, hosanna<br/>To the Lamb that was slain<br/>Hosanna, hosanna<br/>Jesus died and rose again<br/>Hosanna, hosanna<br/>To the Lamb that was slain<br/>Hosanna, hosanna<br/>Jesus died and rose again</p><p>2<br/>Into the river, into the river, I will wade<br/>There my sins are washed away<br/>From the heavens mercy streams<br/>Of the Savior's love for me.</p><p>3<br/>I will rise from waters deep<br/>Into the saving arms of God<br/>I will sing salvation songs<br/>Jesus Christ has set me free</p><p>Chorus</p>",,FALSE
158,What You Think About Jesus?,What you think about Jesus?,,Unknown,"Jesus, Short Chorus, Caribbean","49, 39, 48",Copyright Information Unknown,"<p>What you think about Jesus?<br/>He's alright<br/>What you think about Jesus?<br/>He's alright<br/>What you think about Jesus?<br/>He's alright<br/>He's alright, alright, alright</p><p><br/>What you think about the Holy Ghost?<br/>He's alright<br/>What you think about the Holy Ghost?<br/>He's alright<br/>What you think about the Holy Ghost?<br/>He's alright<br/>He's alright, alright, alright</p><p><br/>What you think about the Bible?<br/>It's alright<br/>What you think about the Bible?<br/>It's alright<br/>What you think about the Bible?<br/>It's alright<br/>It's alright, alright, alright</p>",,FALSE
159,When I Get There,"When I get there, when I get there",,Unknown,"Heaven, Short Chorus, Caribbean","15, 39, 48",Copyright Information Unknown,"<p>When I get there, when I get there<br/>I will sing and shout when I get there<br/>Hallelujah, praise ye the Lord<br/>When I get there</p>",,FALSE
160,Where Could I Go But To The Lord?,"Living below, in this old sinful world",1940,James B. Coats,"Refuge, Salvation","34, 36","© 1940 Stamps - Baxter Music (Admin. by Brentwood-Benson Music Publishing, Inc.)","<p>1<br/>Living below, in this old sinful world<br/>Hardly a comfort can afford<br/>Striving alone, to face temptation's sword<br/>Where could I go but to the Lord?</p><p>Chorus<br/>Where could I go, oh where could I go?<br/>Seeking a refuge for my soul<br/>Needing a friend, to help me in the end<br/>Where could I go, but to the Lord?</p><p>2<br/>Neighbors are kind, I love them everyone<br/>We get along in sweet accord<br/>But when my soul, needs manner from above<br/>Where could I go but to the Lord?</p><p>Chorus</p><p>3<br/>Life here is grand, with friends I love so dear<br/>Comfort I get from God's own word<br/>Yet when I face this chilling hand of death<br/>Where could I go but to the Lord?</p><p>Chorus</p>",,FALSE
161,Whisper A Prayer,Whisper a prayer in the morning,,Unknown,"Prayer, Meditation","31, 23",Unknown,"<p>Whisper a prayer in the morning,<br/>Whisper a prayer at noon,<br/>Whisper a prayer in the evening,<br/>To keep your heart in tune.</p><p>God answers prayer in the morning,<br/>God answers prayer at noon,<br/>God answers prayer in the evening,<br/>To keep your heart in tune.</p><p>Jesus may come in the morning,<br/>Jesus may come at noon,<br/>Jesus may come in the evening,<br/>So keep your heart in tune.</p>",,FALSE
162,Who Made The Twinkling Stars?,Who made the twinkling stars?,,Unknown,"Children's Songs, God's Creation","6, 11",Copyright Information Unknown,"<p>Who made the twinkling stars?<br/>The twinkling stars, the twinkling stars<br/>Who made the twinkling stars?<br/>Our father God</p><p>Who made the birds that fly?<br/>The birds that fly, the birds that fly<br/>Who made the birds that fly?<br/>Our father God</p><p>Who made the rolling sea?<br/>The rolling sea, the rolling sea<br/>Who made the rolling sea?<br/>Our father God</p><p>Who made you and me?<br/>You and me, you and me<br/>Who made you and me?<br/>Our father God</p>",,FALSE
163,With Christ In The Vessel,With Christ in the vessel,1949,Herman Voss,"Peace, Faith, Trust, Jesus, Short Chorus","26, 10, 44, 49, 39","© 1949 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.)","<p>With Christ in the Vessel <br/>We can smile at the storm<br/>We can smile at the storm<br/>We can smile at the storm</p><p>With Christ in the Vessel <br/>We can smile at the storm<br/>As we go sailing home</p><p>Chorus:<br/>Sailing, sailing home<br/>Sailing, sailing home<br/>Sailing, sailing home</p>",,FALSE
164,Won't It Be a Time?,"Won't it be a time, when we get over yonder",,Unknown,"Heaven, Joy, Caribbean, Short Chorus","15, 17, 48, 39",Copyright Information Unknown,<p>Won't it be a time when we get over yonder ?<br/>Won't it be a time when we get over yonder ?<br/>Won't it be a time when we get over yonder ?<br/>Sing and shout and dance about<br/>When we get over yonder<br/>Won't it be a time ?</p>,,FALSE
165,"Wonderful, Merciful Saviour","Wonderful, Merciful Saviour",1989,Eric Wyse,"Love of God, Mercy","21, 24","© 1989 Word Music, LLC & Dayspring Music, LLC",<p>Wonderful Merciful Saviour<br/>Precious Redeemer and Friend<br/>Who would've thought that a Lamb<br/>Could rescue the souls of men<br/>O You rescue the souls of men</p><p>Counsellor Comforter Keeper<br/>Spirit we long to embrace<br/>You offer hope when<br/>Our hearts have hopelessly lost the way<br/>O we've hopelessly lost the way</p><p>You are the one that we praise<br/>You are the one that we adore<br/>You give the healing and grace<br/>Our hearts always hunger for<br/>O our hearts always hunger for</p><p>Almighty Infinite Father<br/>faithfully loving your own<br/>here in our weakness<br/>you find us falling before your throne<br/>O we're falling before your throne</p>,,FALSE
166,Yield Not To Temptation,Yield not to temptation,1868,Horatio R. Palmer,"Temptation, Christian Warfare, Perseverance, Victory, Obedience","42, 7, 28, 46, 25",© Words: Public Domain,"<p>1<br/>Yield not to temptation,<br/>For yielding is sin;<br/>Each vict’ry will help you,<br/>Some other to win;<br/>Fight manfully onward,<br/>Dark passions subdue;<br/>Look ever to Jesus,<br/>He will carry you through.</p><p>Chorus:<br/>Ask the Savior to help you,<br/>Comfort, strengthen and keep you;<br/>He is willing to aid you,<br/>He will carry you through.</p><p>2<br/>Shun evil companions,<br/>Bad language disdain;<br/>God’s name hold in rev’rence,<br/>Nor take it in vain;<br/>Be thoughtful and earnest,<br/>Kindhearted and true;<br/>Look ever to Jesus,<br/>He will carry you through. </p><p>3<br/>To him that o’ercometh,<br/>God giveth a crown;<br/>Through faith we will conquer,<br/>Though often cast down;<br/>He who is our Savior,<br/>Our strength will renew;<br/>Look ever to Jesus,<br/>He will carry you through.</p>",,FALSE
167,You Are Awesome In This Place,"You are awesome in this place, Mighty God",1992,Dave Billington,"Majesty of God, Presence of God, Meditation","22, 32, 23",© 1992 Integrity's Hosanna! Music (Admin. by Capitol CMG Publishing (IMI)),"<p>You are awesome in this place, Mighty God<br/>You are awesome in this place, Abba Father<br/>You are worthy of all praise<br/>To You our hands we raise<br/>You are awesome in this place, Mighty God</p>",,FALSE
168,You Are God Alone,You are not a God created by human hands,2004,Cindy & Billy J. Foote,"Majesty of God, Praise & Worship","22, 30","© 2004 Billy Foote Music (Admin. by EMI Christian Music Publishing (IMI)), Integrity's Hosanna! Music (Admin. by EMI Christian Music Publishing (IMI))","<p>1<br/>You are not a God created by human hands<br/>You are not a God dependent on any mortal man<br/>You are not a God in need of<br/>Anything we can give<br/>By Your plan, that's just the way it is<br/>(Repeat verse 1)</p><p>Chorus:<br/>You are God alone, from before time began<br/>You were on Your throne, You are God alone.<br/>And right now, in the good times and bad<br/>You are on Your throne, You are God alone.</p><p>2<br/>You're the only God whose power none can contend<br/>You're the only God whose name and<br/>Praise will never end<br/>You're the only God who's worthy<br/>Of everything we can give<br/>You are God, that's just the way it is</p><p>Chorus</p><p>Bridge:<br/>You're unchangeable (Unchangeable)<br/>Unshakable (Unshakable)<br/>Unstoppable (Unstoppable)<br/>That's who you are (that's who you are)</p><p>Bridge</p><p>Chorus</p>",,FALSE
169,You Are My All In All,You are my strength when I am weak,1990,Dennis L. Jernigan,Love for God,20,"© 1990, Shepherd's Heart Music, Inc. (admin. DaySpring Music, LLC).","<p>You are my strength when I am weak<br/>You are the treasure that I seek<br/>You are my all in all<br/>Seeking You as a precious jewel<br/>Lord, to give up I'd be a fool<br/>You are my all in all</p><p>Taking my sin, my cross, my shame<br/>Rising up again I bless Your name<br/>You are my all in all<br/>When I fall down You pick me up<br/>When I am dry You fill my cup<br/>You are my all in all</p><p>Jesus, Lamb of God<br/>Worthy is Your name<br/>Jesus, Lamb of God<br/>Worthy is Your name</p>",,FALSE
170,You'd Better Get Right With God,"You'd better get right with God, come and do it now",,Unknown,"Surrender, Short Chorus, Caribbean","41, 39, 48",Copyright Information Unknown,"<p>You'd better get right with God, come and do it now<br/>Under the cross of Jesus, I lay my burdens down<br/>You'd better get right With God, come and do it now<br/>Get right, get right, get right with God</p>",,FALSE
